Temperature,Humidity,Pressure,Rain,Intensity,Altitude
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
32,59,998,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,226,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,297,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,170,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
31,65,999,1,0,2147483647
30,69,1000,1,0,2147483647
31,65,999,1,0,2147483647
30,69,1000,1,0,2147483647
30,69,1000,1,0,2147483647
30,69,1000,1,0,2147483647
30,69,1000,1,0,2147483647
